Model,HUB Perplexity,HUB WER,Parameters
quadgram,492.1515472451798,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.2700000000000001
quadgram,493.628561774504,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.2800000000000001
quadgram,495.71498167667636,0.06636304489264802,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.2900000000000001
quadgram,498.47354825508575,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.3000000000000001
quadgram,501.9855355609025,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.3100000000000001
quadgram,506.35669596163126,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.3200000000000001
quadgram,511.7260160275467,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.3300000000000001
quadgram,518.2789647147183,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.34000000000000014
quadgram,526.268221417112,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.35000000000000014
quadgram,536.0474664992213,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.36000000000000015
quadgram,548.1293268452398,0.06441119063109954,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.37000000000000016
quadgram,563.2912524203078,0.06115810019518542,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.38000000000000017
quadgram,582.7854233930705,0.05920624593363696,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.3900000000000002
quadgram,498.9439074192581,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.2
quadgram,497.20111654043035,0.06831489915419649,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.21000000000000002
quadgram,495.94014885763005,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.22000000000000003
quadgram,495.1644986780535,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.23000000000000004
quadgram,494.8844298874326,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.24000000000000005
quadgram,495.1175581110341,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.25000000000000006
quadgram,495.8897994273956,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.26000000000000006
quadgram,497.2367823748489,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.2700000000000001
quadgram,499.2058766891274,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.2800000000000001
quadgram,501.8590782871783,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.2900000000000001
quadgram,505.27712679750243,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.3000000000000001
quadgram,509.56545811209577,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.3100000000000001
quadgram,514.8629833555894,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.3200000000000001
quadgram,521.3553831533997,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.3300000000000001
quadgram,529.295917745217,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.34000000000000014
quadgram,539.0393604207886,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.35000000000000014
quadgram,551.1001968033172,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.36000000000000015
quadgram,566.2589737380687,0.06180871828236825,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.37000000000000016
quadgram,585.7731524003768,0.05920624593363696,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.38000000000000017
quadgram,611.8433483731511,0.0605074821080026,Lambda1: 0.35 Lambda2: 0.22000000000000006 Lambda3: 0.3900000000000002
quadgram,502.2179678710346,0.06831489915419649,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.2
quadgram,500.71923293791053,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.21000000000000002
quadgram,499.72901657453946,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.22000000000000003
quadgram,499.2550415777351,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.23000000000000004
quadgram,499.31281806846,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.24000000000000005
quadgram,499.92652214666623,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.25000000000000006
quadgram,501.13035609165445,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.26000000000000006
quadgram,502.9705403898128,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.2700000000000001
quadgram,505.50817540894934,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.2800000000000001
quadgram,508.8233487228842,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.2900000000000001
quadgram,513.0210918871171,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.3000000000000001
quadgram,518.2401816523032,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.3100000000000001
quadgram,524.6664817484681,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.3200000000000001
quadgram,532.5538396072973,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.3300000000000001
quadgram,542.258172135902,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.34000000000000014
quadgram,554.2959367353177,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.35000000000000014
quadgram,569.4509871136663,0.062459336369551074,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.36000000000000015
quadgram,588.986442670766,0.05920624593363696,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.37000000000000016
quadgram,615.1131898425992,0.0605074821080026,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.38000000000000017
quadgram,652.1989474036483,0.05985686402081978,Lambda1: 0.35 Lambda2: 0.23000000000000007 Lambda3: 0.3900000000000002
quadgram,505.8981324654955,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.2
quadgram,504.66843540027736,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.21000000000000002
quadgram,503.97871780169925,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.22000000000000003
quadgram,503.84194616731355,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.23000000000000004
quadgram,504.28020277669134,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.24000000000000005
quadgram,505.3259771842098,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.25000000000000006
